person,personLabel,work,workLabel
http://www.wikidata.org/entity/Q920461,Samuel T. Anders,http://www.wikidata.org/entity/Q237072,Battlestar Galactica
http://www.wikidata.org/entity/Q923143,Blue Mary,http://www.wikidata.org/entity/Q257233,Fatal Fury
http://www.wikidata.org/entity/Q924595,Char Aznable,http://www.wikidata.org/entity/Q1134906,Mobile Suit Gundam
http://www.wikidata.org/entity/Q926106,Angie Bolen,http://www.wikidata.org/entity/Q131758,Desperate Housewives
http://www.wikidata.org/entity/Q929855,Velma Dinkley,http://www.wikidata.org/entity/Q205683,Scooby Doo
http://www.wikidata.org/entity/Q930422,London Tipton,http://www.wikidata.org/entity/Q217246,The Suite Life of Zack & Cody
http://www.wikidata.org/entity/Q931190,Shadow Galactica,http://www.wikidata.org/entity/Q1643098,Sailor Moon
http://www.wikidata.org/entity/Q934089,Rodion Romanovich Raskolnikov,http://www.wikidata.org/entity/Q165318,Crime and Punishment
http://www.wikidata.org/entity/Q934495,Q934495,http://www.wikidata.org/entity/Q182056,Inuyasha
http://www.wikidata.org/entity/Q934752,Steve McDonald,http://www.wikidata.org/entity/Q945030,Coronation Street
http://www.wikidata.org/entity/Q935079,SpongeBob SquarePants,http://www.wikidata.org/entity/Q83279,SpongeBob SquarePants
http://www.wikidata.org/entity/Q935364,Shinomori Aoshi,http://www.wikidata.org/entity/Q216439,Rurouni Kenshin
http://www.wikidata.org/entity/Q936873,Q936873,http://www.wikidata.org/entity/Q635464,Bartimaeus Sequence
http://www.wikidata.org/entity/Q937126,Samantha Jones,http://www.wikidata.org/entity/Q35791,Sex and the City
http://www.wikidata.org/entity/Q937186,Porky Pig,http://www.wikidata.org/entity/Q622435,Looney Tunes
http://www.wikidata.org/entity/Q937569,Dan Humphrey,http://www.wikidata.org/entity/Q2020597,Gossip Girl
http://www.wikidata.org/entity/Q938265,Paul Kellerman,http://www.wikidata.org/entity/Q80044,Prison Break
http://www.wikidata.org/entity/Q1072499,Miwako Sato,http://www.wikidata.org/entity/Q185143,Detective Conan
http://www.wikidata.org/entity/Q1073372,Mary Alice Young,http://www.wikidata.org/entity/Q131758,Desperate Housewives
http://www.wikidata.org/entity/Q1076313,Ayane,http://www.wikidata.org/entity/Q1180890,Dead or Alive
